0,Iron Maiden,4195,1975,United Kingdom,-,"New wave of british heavy,Heavy"
1,Opeth,4147,1990,Sweden,1990,"Extreme progressive,Progressive rock,Progressive"
2,Metallica,3712,1981,USA,-,"Heavy,Bay area thrash"
3,Megadeth,3105,1983,USA,1983,"Thrash,Heavy,Hard rock"
4,Amon Amarth,3054,1988,Sweden,-,Melodic death
5,Slayer,2955,1981,USA,1981,Thrash
6,Death,2690,1983,USA,2001,"Progressive death,Death,Progressive thrash"
7,Dream Theater,2329,1985,USA,1985,Progressive
8,Black Sabbath,2307,1968,United Kingdom,-,"Doom,Heavy,Hard rock"
9,Nightwish,2183,1996,Finland,1996,"Symphonic power,Gothic,Symphonic"
10,Children Of Bodom,2153,1993,Finland,-,Extreme power
11,Judas Priest,2094,1969,United Kingdom,1969,"Heavy,Hard rock"
12,Blind Guardian,2040,1984,Germany,-,"Power,Speed"
13,In Flames,1932,1990,Sweden,1990,"Gothenburg,Alternative"
14,Pantera,1920,1981,USA,2003,"Heavy,Groove thrash,Groove metal"
15,Dark Tranquillity,1898,1989,Sweden,1989,Gothenburg
16,Agalloch,1881,1995,USA,2016,"Atmospheric black,Neofolk"
17,Ensiferum,1879,1995,Finland,1995,Extreme folk
18,Arch Enemy,1750,1996,Sweden,-,Gothenburg
19,Katatonia,1735,1991,Sweden,1991,"Blackened doom,Death doom,Alternative rock,Gothic doom"
20,Behemoth,1721,1991,Poland,-,"Death,Black,Blackened death"
21,Dimmu Borgir,1688,1993,Norway,1993,"Symphonic black,Black"
22,Kreator,1646,1982,Germany,-,Teutonic thrash
23,Wintersun,1640,2004,Finland,2004,Extreme power
24,Insomnium,1547,1997,Finland,-,Melodic death
25,Amorphis,1528,1990,Finland,1990,"Death,Melodic death,Folk,Progressive"
26,Kamelot,1520,1991,USA,-,Symphonic power
27,Tool,1506,1988,USA,1988,"Progressive,Alternative"
28,Helloween,1501,1978,Germany,-,"Speed,Power"
29,Testament,1500,1983,USA,1983,Bay area thrash
30,Epica,1450,2002,The Netherlands,-,Symphonic
31,Immortal,1436,1990,Norway,1990,"Death,Black"
32,Lamb Of God,1433,1999,USA,-,Groove thrash
33,Iced Earth,1403,1985,USA,1985,"Heavy,Us power"
34,Anathema,1400,1990,United Kingdom,-,"Death doom,Atmospheric rock,Doom"
35,Symphony X,1343,1994,USA,1994,"Progressive,Symphonic power"
36,Eluveitie,1328,2002,Switzerland,-,"Celtic folk,Gothenburg"
37,Gojira,1300,1996,France,1996,Progressive death
38,Rammstein,1251,1994,Germany,-,Industrial
39,Sonata Arctica,1242,1996,Finland,1996,Power
40,Mastodon,1232,1999,USA,-,"Progressive stoner,Progressive sludge"
41,Nile,1189,1993,USA,1993,"Brutal death,Technical death"
42,Sepultura,1185,1984,Brazil,-,"Alternative,Death,Groove thrash,Thrash"
43,Moonspell,1173,1989,Portugal,1989,"Folk,Gothic black,Gothic,Symphonic black,Black"
44,Therion,1167,1987,Sweden,-,"Death,Symphonic"
45,Cannibal Corpse,1162,1988,USA,1988,Death
46,Enslaved,1146,1991,Norway,-,"Viking black,Progressive black"
47,Emperor,1132,1991,Norway,1991,"Black,Symphonic black"
48,Porcupine Tree,1094,1987,United Kingdom,-,"Progressive rock,Progressive"
49,Cradle Of Filth,1084,1991,United Kingdom,1991,"Extreme gothic,Symphonic black,Death,Symphonic"
50,Iron Maiden,4195,1975,United Kingdom,-,"New wave of british heavy,Heavy"
51,Opeth,4147,1990,Sweden,1990,"Extreme progressive,Progressive rock,Progressive"
52,Metallica,3712,1981,USA,-,"Heavy,Bay area thrash"
53,Megadeth,3105,1983,USA,1983,"Thrash,Heavy,Hard rock"
54,Amon Amarth,3054,1988,Sweden,-,Melodic death
55,Slayer,2955,1981,USA,1981,Thrash
56,Death,2690,1983,USA,2001,"Progressive death,Death,Progressive thrash"
57,Dream Theater,2329,1985,USA,1985,Progressive
58,Black Sabbath,2307,1968,United Kingdom,-,"Doom,Heavy,Hard rock"
59,Nightwish,2183,1996,Finland,1996,"Symphonic power,Gothic,Symphonic"
60,Children Of Bodom,2153,1993,Finland,-,Extreme power
61,Judas Priest,2094,1969,United Kingdom,1969,"Heavy,Hard rock"
62,Blind Guardian,2040,1984,Germany,-,"Power,Speed"
63,In Flames,1932,1990,Sweden,1990,"Gothenburg,Alternative"
64,Pantera,1920,1981,USA,2003,"Heavy,Groove thrash,Groove metal"
65,Dark Tranquillity,1898,1989,Sweden,1989,Gothenburg
66,Agalloch,1881,1995,USA,2016,"Atmospheric black,Neofolk"
67,Ensiferum,1879,1995,Finland,1995,Extreme folk
68,Arch Enemy,1750,1996,Sweden,-,Gothenburg
69,Katatonia,1735,1991,Sweden,1991,"Blackened doom,Death doom,Alternative rock,Gothic doom"
70,Behemoth,1721,1991,Poland,-,"Death,Black,Blackened death"
71,Dimmu Borgir,1688,1993,Norway,1993,"Symphonic black,Black"
72,Kreator,1646,1982,Germany,-,Teutonic thrash
73,Wintersun,1640,2004,Finland,2004,Extreme power
74,Insomnium,1547,1997,Finland,-,Melodic death
75,Amorphis,1528,1990,Finland,1990,"Death,Melodic death,Folk,Progressive"
76,Kamelot,1520,1991,USA,-,Symphonic power
77,Tool,1506,1988,USA,1988,"Progressive,Alternative"
78,Helloween,1501,1978,Germany,-,"Speed,Power"
79,Testament,1500,1983,USA,1983,Bay area thrash
80,Epica,1450,2002,The Netherlands,-,Symphonic
81,Immortal,1436,1990,Norway,1990,"Death,Black"
